id,nombre,rubro,marca,proveedor,precio
23,ALGODÓN COMUN - 75 GR,PERFUMERÍA,ESTRELLA,VICENTIN,6.1
24,ARROZ DOBLE CAROLINA - 500 GR,ALMACÉN,GALLO,MOLINOS RÍO DE LA PLATA,12.9
25,ARROZ LARGO FINO 00000 LARGO FINO 00000 - 500 GR,ALMACÉN,MOLINOS ALA,ADECO AGRO,4.8
26,ARVEJAS EN LATA - 350 GR,ALMACÉN,ALCO,ALCO  CANALE ,5.9
27,ARVEJAS EN LATA - 300 GR,ALMACÉN,NOEL,ARCOR,3.7
28,ATUN AL NATURAL DESMENUZADO - 170 GR,ALMACÉN,GÓMES DA COSTA,GDC ARGENTINA GRUPO CALVO,9.5
29,ATUN AL NATURAL EN LATA - 170 GR,ALMACÉN,LA CAMPAGNOLA,ARCOR,20.5
30,AUTOBRILLO INCOLORO - 898 CC,LIMPIEZA,SUIZA,CERA SUIZA,19.9
31,AUTOBRILLO NEGRO - 900 CC,LIMPIEZA,SUIZA,CERA SUIZA,19.9
32,AUTOBRILLO ROJO - 899 CC,LIMPIEZA,SUIZA,CERA SUIZA,19.9
33,AZUCAR BLANCA  - 1 KG,ALMACÉN,DOMINO,LEDESMA,6
34,AZUCAR BLANCA  - 1 KG,ALMACÉN,LEDESMA,LEDESMA,7.3
35,AZUCAR BLANCA  - 1 KG,ALMACÉN,CHANGO,TABACAL AGROINDUSTRIA,7.3
36,BATATA  - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),6.91
37,CACAO EN POLVO  - 180 GR,ALMACÉN,TODDY,PEPSICO,7.7
38,CAFÉ MOLIDO  - 250 GR,ALMACÉN,LA MORENITA,LA VIRGINIA,14.8
